# Codage des formes des charts de /lit/ — 264 charts.
# ANNOTATEUR : modèle vision-langage distant (Claude), examen image par image.
#   Ni humain, ni local, ni open source. À déclarer comme tel en publication.
#   Sert de jeu de validation externe à la phase 4, hors pipeline reproductible.
# TAXONOMIE construite inductivement sur le corpus, en sept modalités :
#   flowchart, tier_list, sectioned_grid, grid, list, map, collage.
#   « sectioned_grid » (sections thématiques nommées) et la distinction
#   tier_list/sectioned_grid (palier vs thème) ont été ajoutées en cours de
#   codage, la taxonomie initiale ne rendant pas compte du corpus.
# FIABILITÉ face au modèle local : voir results/accord_inter_codeurs.txt
#   (alpha de Krippendorff 0,078 sur layout_type, 0,842 sur les flèches).
fichier,categorie,layout_manuel,fleches,remarque
02_Guide to Harry Potter.jpeg,10_Meme Charts,flowchart,oui,couvertures reliées par des flèches en séquence dirigée
05_Carle.jpeg,10_Meme Charts,flowchart,oui,parcours fléché avec commentaires en encadrés
40_Pseudcore.jpeg,10_Meme Charts,grid,non,grille dense et uniforme sans intitulés
ic_Art 1.jpeg,11_Other Boards,sectioned_grid,non,sections nommées (Types Drawing / Anatomy / Perspective) le long du bord gauche
ic_Art 2.jpeg,11_Other Boards,sectioned_grid,non,sections « Group 1..5 » explicitement ordonnées
05_Greek 3.jpeg,1_Beginnings,sectioned_grid,non,sections par genre + encart « Start with the Greeks » et « Learning Greek? »
03_Beowulf.jpeg,2_General,list,non,comparaison de traductions en colonnes de texte
04_2016.jpeg,2_General,grid,non,palmarès annuel numéroté
06_Inverse.jpeg,2_General,sectioned_grid,non,rangées libellées à gauche, très aérées
10_.lit. canon.jpeg,2_General,collage,non,couvertures en cadre autour du titre central
20_21st Century Literature 2.jpeg,2_General,grid,non,grille régulière sur fond bleu
27_War.jpeg,2_General,grid,non,grille avec légendes titre/auteur
45_Minor Classics 1.jpeg,2_General,grid,non,grille dense sans légendes lisibles
02_Christian.Catholic and Medieval Philosophy.jpeg,3_Philosophy,sectioned_grid,non,grappes de couvertures avec intitulés de période
16_Analytic Metaphysics.jpeg,3_Philosophy,sectioned_grid,non,colonnes thématiques (Causation / Modality / Time / Properties)
12_Uruguayan.jpeg,4_Countries.Nationalities,grid,non,grille uniforme sur fond noir
02_Sci-Fi 2.jpeg,5_Speculative Fiction,sectioned_grid,non,sections périodisées (Golden Age…) en grappes irrégulières
04_NPR Top 100 Sci-Fi.jpeg,5_Speculative Fiction,flowchart,oui,arbre de décision ramifié reliant les couvertures
07_Dune.jpeg,5_Speculative Fiction,list,non,cinq OPTIONS de parcours alternatifs — embranchement explicite
15_Warhammer 40k 1.jpeg,5_Speculative Fiction,sectioned_grid,non,rangées éparses faiblement libellées
02_Esoteric Islam.jpeg,6_Religion,sectioned_grid,non,grille de couvertures doublée d'un commentaire suivi
13_Christian Mysticism.jpeg,6_Religion,grid,non,grille 3x3 nette avec légendes
34_Daoist.jpeg,6_Religion,tier_list,non,bandes horizontales successives avec consignes de lecture
02_Reactionary.jpeg,7_Ideologies,sectioned_grid,non,colonnes libellées (FICTION / POETRY / WORLDVIEW & POLITICS / HISTORY)
